run	fold_iter	best_epoch	val	test	char	perfect	good	poor
1	f0_1	26	87.16	86.17	95.09	94.11	84.47	64.61
2	f0_2	22	86.51	84.80	96.00	93.96	83.43	60.08
3	f1_1	17	84.97	84.83	94.09	92.27	84.27	62.99
4	f1_2	24	87.45	87.02	96.50	94.98	84.15	68.06
5	f2_1	21	83.33	83.27	93.97	91.97	81.87	59.94
6	f2_2	25	81.69	82.34	92.97	90.52	79.64	62.12
7	f3_1	25	87.92	88.54	97.05	95.30	87.18	70.22
8	f3_2	27	83.31	82.91	93.13	90.87	80.48	62.75
9	f4_1	26	88.20	88.26	96.32	95.47	86.05	70.16
10	f4_2	25	84.54	84.81	94.53	92.82	83.13	63.42
mean	-	23.8	85.51	85.30	94.97	93.23	83.47	64.44
std	-	3.0	2.26	2.17	1.45	1.80	2.33	3.80
