setting	fold_iter	n_test	lp_acc	char	perfect	good	poor
rodo8k	f0_1	4266	58.98	89.48	69.41	55.01	34.10
rodo8k	f0_2	4304	57.99	89.18	69.00	56.44	28.04
rodo8k	f1_1	4299	58.34	89.28	69.49	54.23	32.06
rodo8k	f1_2	4285	58.76	89.50	69.03	57.46	29.35
rodo8k	f2_1	4304	57.99	89.18	69.00	56.44	28.04
rodo8k	f2_2	4286	59.68	89.84	70.56	56.44	32.14
rodo8k	f3_1	4285	58.76	89.50	69.03	57.46	29.35
rodo8k	f3_2	4266	58.98	89.48	69.41	55.01	34.10
rodo8k	f4_1	4286	59.68	89.84	70.56	56.44	32.14
rodo8k	f4_2	4299	58.34	89.28	69.49	54.23	32.06
rodo12k	f0_1	4266	69.29	91.09	81.00	66.62	37.82
rodo12k	f0_2	4304	69.70	91.06	81.55	68.20	37.15
rodo12k	f1_1	4299	69.95	91.20	81.84	67.12	38.84
rodo12k	f1_2	4285	69.10	90.93	79.63	67.96	38.56
rodo12k	f2_1	4304	69.70	91.06	81.55	68.20	37.15
rodo12k	f2_2	4286	69.53	91.09	80.17	67.83	39.60
rodo12k	f3_1	4285	69.10	90.93	79.63	67.96	38.56
rodo12k	f3_2	4266	69.29	91.09	81.00	66.62	37.82
rodo12k	f4_1	4286	69.53	91.09	80.17	67.83	39.60
rodo12k	f4_2	4299	69.95	91.20	81.84	67.12	38.84
